City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
319,Tarakan,ID,76.5,heavy intensity rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
320,Key Largo,US,82.4,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
324,Belmonte,BR,79.3,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
327,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
328,The Valley,AI,84.06,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
330,Byron Bay,AU,76.05,light rain,-28.65,153.6167,Backpackers Inn
332,Bahia Blanca,AR,88.11,clear sky,-38.7196,-62.2724,Hotel Argos
333,La Macarena,CO,84.34,broken clouds,2.1837,-73.7849,Hotel Punto Verde
336,Gamba,GA,75.34,light rain,-2.65,10.0,
337,Tautira,PF,86.02,broken clouds,-17.7333,-149.15,Pension Oaoa
343,Manggar,ID,77.5,overcast clouds,-2.8833,108.2667,Guest Hotel
345,Caratinga,BR,81.88,broken clouds,-19.7897,-42.1392,Hotel Rota 116
347,Santa Rosa,PH,78.78,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
355,Areia Branca,BR,86.2,clear sky,-4.9561,-37.1369,Areia Branca Apart Hotel
360,San Jose De Las Lajas,CU,85.12,few clouds,22.9614,-82.1511,Hostal Spirit
362,Pauini,BR,81.95,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
366,Nisia Floresta,BR,82.78,clear sky,-6.0911,-35.2086,Rancho Crepusculo
369,Coahuayana,MX,87.31,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
370,Vanimo,PG,79.81,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
380,Sao Geraldo Do Araguaia,BR,77.58,overcast clouds,-6.4006,-48.555,Hotel Por do Sol
382,Tingo Maria,PE,78.98,overcast clouds,-9.2895,-76.0088,Hospedaje Paraíso
387,Merauke,ID,80.2,light rain,-8.4667,140.3333,
388,Punata,BO,78.58,overcast clouds,-17.55,-65.8333,"Salon de Eventos Capitolio,Punata"
391,Sao Gabriel Da Cachoeira,BR,76.06,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
393,Port Augusta,AU,80.71,clear sky,-32.5,137.7667,Majestic Oasis Apartments
398,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
403,Natal,BR,82.62,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
405,Birnin Kebbi,NG,76.44,clear sky,12.4539,4.1975,Saffar Guest Inn Ltd
406,Ambulu,ID,78.01,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
411,Omboue,GA,75.16,light rain,-1.5746,9.2618,Hotel Olako
412,Baculin,PH,77.88,broken clouds,7.4525,126.5842,Baculin Cove Beach Resort
414,Mahibadhoo,MV,78.28,light rain,3.7833,72.9667,Omadhoo Inn
415,Farafangana,MG,75.61,light rain,-22.8167,47.8333,Miarina
416,Pitimbu,BR,81.19,few clouds,-7.4706,-34.8086,Reserva do Abiaí
418,San Ramon De La Nueva Oran,AR,87.42,overcast clouds,-23.1322,-64.326,Hotel Residencial Centro
419,Conde,BR,80.06,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
422,Gurupa,BR,77.5,broken clouds,-1.405,-51.64,Hotel Vitória
425,Ahuimanu,US,83.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
432,San Vicente,AR,76.6,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
435,Beloha,MG,77.7,broken clouds,-25.1667,45.05,
438,Kilindoni,TZ,79.99,light rain,-7.9139,39.6668,Bustani B&B
441,Banda Aceh,ID,77.65,scattered clouds,5.5577,95.3222,Sulthan Hotel International
442,Brandon,US,84.54,haze,27.9378,-82.2859,Brandon Motor Lodge
451,Tubuala,PA,87.91,broken clouds,9.5167,-79.0333,Río Nabagana
461,Maceio,BR,81.84,few clouds,-9.6658,-35.7353,Poutur Pousada
462,Wattegama,LK,76.12,scattered clouds,6.7989,81.4808,
465,Saint-Louis,SN,80.24,broken clouds,16.3333,-15.0,
466,Kailua,US,84.18,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
474,Chibuto,MZ,81.19,scattered clouds,-24.6867,33.5306,Residência Masculina da Escola Superior de Negocios e Empreendedorismo de Chibuto
475,Yenagoa,NG,78.73,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
478,Tahoua,NE,76.98,clear sky,14.8888,5.2692,Bungalows Guesthouse
481,Gunjur,GM,75.27,overcast clouds,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
487,Mitsamiouli,KM,79.99,overcast clouds,-11.3847,43.2844,Foyer ADM
492,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
494,Grand Gaube,MU,78.39,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
495,Poum,NC,81.93,overcast clouds,-20.2333,164.0167,Gîte kajeon
503,Kudahuvadhoo,MV,79.48,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
505,Bourail,NC,86.16,overcast clouds,-21.5667,165.4833,Motel Allamanda
506,Waingapu,ID,79.52,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
519,Bonthe,SL,81.37,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
526,Macapa,BR,85.98,scattered clouds,0.0389,-51.0664,Atalanta Hotel
528,Bima,ID,76.66,broken clouds,-8.4667,118.7167,Lambitu Hotel
530,Namatanai,PG,81.86,light rain,-3.6667,152.4333,Seagulls Inn Namatani
536,Cosoleacaque,MX,84.31,broken clouds,18.0,-94.6167,City Express Minatitlán
538,Mercedes,AR,88.18,scattered clouds,-34.6515,-59.4307,Posada del Inti Centro
541,Marabba,SD,80.82,clear sky,12.35,32.1833,
546,Buchanan,LR,76.96,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
549,Bonfim,BR,83.73,light rain,3.0833,-59.95,
553,Rio Grande,BR,77.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
558,Mount Isa,AU,80.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
560,Kalabo,ZM,76.62,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
567,Acandi,CO,81.63,scattered clouds,8.5063,-77.2778,Hotel Patio Bonito
569,Sao Felix Do Xingu,BR,75.49,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
572,Cabo Rojo,PR,83.79,scattered clouds,18.0866,-67.1457,Hotel Perichi's
575,Cabedelo,BR,81.27,clear sky,-6.9811,-34.8339,Hotel Pigalle
577,Wajir,KE,78.71,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
578,Bossangoa,CF,75.36,broken clouds,6.4926,17.4552,LA PERLE DE BOSTON
580,Roebourne,AU,89.89,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
581,Lufilufi,WS,85.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
587,Itarema,BR,80.91,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
589,Cartagena,CO,85.62,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
591,Pangai,TO,82.51,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
595,Alugan,PH,79.57,overcast clouds,12.2188,125.4808,JM Lodge
598,Punta Gorda,US,84.24,scattered clouds,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
603,Dingle,PH,75.31,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
606,San Rafael,AR,79.32,scattered clouds,-34.6177,-68.3301,Hotel San Rafael
614,Alto Araguaia,BR,77.41,overcast clouds,-17.3147,-53.2153,Araguaia Palace Hotel
615,Buala,SB,83.52,light rain,-8.145,159.5921,Maringe Lagoon Lodge
616,Mahebourg,MU,78.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
632,Cairns,AU,83.1,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
641,Loandjili,CG,77.11,thunderstorm with light rain,-4.7561,11.8578,Résidence ARCHANGE
642,Diamantino,BR,77.02,moderate rain,-14.4086,-56.4461,Hotel Delta
647,Yurimaguas,PE,82.56,scattered clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
652,Porto Velho,BR,86.05,few clouds,-8.7619,-63.9039,Hotel Central
653,Neuquen,AR,80.49,clear sky,-38.9516,-68.0591,Hotel del Comahue
657,Gambela,ET,79.75,clear sky,8.25,34.5833,Solomon Debebe Hotel
661,West Bay,KY,86.07,few clouds,19.3667,-81.4167,Calypso Cove
663,Imbituba,BR,76.89,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
664,Mount Pleasant,US,77.18,clear sky,32.7941,-79.8626,Best Western Patriots Point
669,Sinnamary,GF,77.56,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
679,Mahajanga,MG,80.62,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
685,Amahai,ID,79.57,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
688,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
693,Prado,BR,75.51,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
701,Manokwari,ID,79.41,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
702,Dunmore Town,BS,77.99,clear sky,25.5,-76.65,Coral Sands Hotel
708,Bandarbeyla,SO,76.73,light rain,9.4942,50.8122,JABIR HOTEL
711,Reo,BF,78.76,broken clouds,12.3167,-2.4667,Hôtel Deogratias
718,Carutapera,BR,79.14,scattered clouds,-1.195,-46.02,Lidera
